Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
100,0.011839019,0.006713278,-0.085250921
106.7897685,0.01164961,0.000468703,-0.091938283
114.0405466,0.011506471,0.00688649,-0.093503383
121.7836358,0.011546641,0.006638372,-0.103729045
130.0524628,0.011747328,0.005696287,-0.112863169
138.882724,0.011633356,0.00610944,-0.118849492
148.3125394,0.011550013,0.006568675,-0.126476151
158.3826176,0.011265715,0.006619421,-0.140119847
169.1364307,0.011637584,0.006503568,-0.145670612
180.6204029,0.011491951,0.006099734,-0.154819851
192.8841101,0.011815537,0.006150839,-0.165222692
205.9804948,0.011730893,0.006753682,-0.174912255
219.9660936,0.012105911,0.006564654,-0.191429186
234.9012822,0.011693534,0.00689231,-0.196745069
250.8505355,0.012655391,0.005382813,-0.210859469
267.8827063,0.012423167,0.006295401,-0.22744425
286.071322,0.012602461,0.007548272,-0.246346762
305.4949026,0.012159226,0.006790329,-0.258027699
326.2372993,0.012810858,0.00776689,-0.280456019
348.3880568,0.012847498,0.008635325,-0.296830088
372.0427995,0.013536079,0.006683241,-0.316164173
397.3036444,0.013287474,0.00847442,-0.336245814
424.2796422,0.01402358,0.005416093,-0.357849842
453.0872479,0.014231624,0.007609722,-0.384134211
483.8508233,0.01431464,0.005625397,-0.406507324
516.7031742,0.014409855,0.006895342,-0.441274516
551.7861237,0.015173381,0.006726986,-0.465330753
589.2511243,0.016229153,0.010641121,-0.494824493
629.2599118,0.016643082,0.012312829,-0.534774726
671.9852032,0.017361327,0.013310107,-0.570830406
717.6114431,0.018175106,0.01298154,-0.608045763
766.3355991,0.018500964,0.017051236,-0.651413269
818.3680124,0.019720394,0.019125454,-0.696240124
873.9333062,0.02074093,0.020216118,-0.744027581
933.2713549,0.022781813,0.022087537,-0.795140252
996.6383196,0.023719347,0.025047418,-0.849985776
1064.307755,0.025520191,0.028505021,-0.906321669
1136.571788,0.027450899,0.030477617,-0.974585086
1213.742381,0.029265736,0.037171506,-1.036596204
1296.15268,0.032102145,0.039771193,-1.108316486
