Frequency (Hz),Magnitude (dB),Phase (degrees)
10,13.97940949,-0.038016008
10.02305238,13.97940953,-0.038103644
10.0461579,13.97940958,-0.038191482
10.06931669,13.97940962,-0.038279523
10.09252886,13.97940967,-0.038367766
10.11579454,13.97940971,-0.038456213
10.13911386,13.97940975,-0.038544864
10.16248693,13.9794098,-0.03863372
10.18591388,13.97940984,-0.03872278
10.20939484,13.97940989,-0.038812045
10.23292992,13.97940993,-0.038901516
10.25651926,13.97940998,-0.038991194
10.28016298,13.97941002,-0.039081078
10.3038612,13.97941007,-0.039171169
10.32761406,13.97941012,-0.039261469
10.35142167,13.97941016,-0.039351976
10.37528416,13.97941021,-0.039442692
10.39920166,13.97941026,-0.039533617
10.42317429,13.9794103,-0.039624751
10.44720219,13.97941035,-0.039716096
10.47128548,13.9794104,-0.039807651
10.49542429,13.97941045,-0.039899418
10.51961874,13.97941049,-0.039991396
10.54386896,13.97941054,-0.040083586
10.56817509,13.97941059,-0.040175988
10.59253725,13.97941064,-0.040268603
10.61695557,13.97941069,-0.040361432
10.64143018,13.97941074,-0.040454475
10.66596121,13.97941078,-0.040547733
10.69054879,13.97941083,-0.040641205
10.71519305,13.97941088,-0.040734893
10.73989412,13.97941093,-0.040828797
10.76465214,13.97941098,-0.040922917
10.78946722,13.97941103,-0.041017255
10.81433951,13.97941108,-0.041111809
10.83926914,13.97941113,-0.041206582
10.86425624,13.97941119,-0.041301573
10.88930093,13.97941124,-0.041396784
10.91440336,13.97941129,-0.041492213
10.93956366,13.97941134,-0.041587863
10.96478196,13.97941139,-0.041683733
10.99005839,13.97941144,-0.041779824
11.0153931,13.9794115,-0.041876137
11.0407862,13.97941155,-0.041972672
11.06623784,13.9794116,-0.042069429
11.09174815,13.97941166,-0.04216641
11.11731727,13.97941171,-0.042263613
11.14294534,13.97941176,-0.042361041
11.16863248,13.97941182,-0.042458694
11.19437883,13.97941187,-0.042556572
11.22018454,13.97941193,-0.042654675
11.24604974,13.97941198,-0.042753004
11.27197456,13.97941203,-0.042851561
