Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
1000.000000000001,0.009244229335485611,0.08078774813870351,-3.942725683810828
1051.978506542568,-0.002347714965827073,0.09011677816792887,-4.152378796779561
1106.658778227529,-0.01799336120080322,0.09872246012704651,-4.372010926792917
1164.181248772018,-0.03822083629824184,0.1106602889586035,-4.604102765130875
1224.693651428048,-0.0648872538265693,0.1235943237756146,-4.8551764917128
1288.351398401441,-0.09452274264469515,0.1370764611262958,-5.112573989743083
1355.317979992375,-0.1298605704174552,0.1513174286799539,-5.390827427904753
1425.765384482666,-0.1926217900549051,0.1683634638439875,-5.68349797687581
1499.874539848164,-0.2937851721544605,0.1869688794557721,-5.983646266174617
1577.835778430691,-0.4162087967181639,0.2080805667734578,-6.315191839701498
1659.849325762946,-0.5563990565354671,0.2309946661441617,-6.650841548821136
1746.125814801791,-0.7177916307278149,0.2567462367228591,-7.01507317801962
1836.886826890609,-0.9060512578737955,0.2851675568612626,-7.400398905084927
1932.365460840097,-1.132082063777187,0.316586840105472,-7.808879715252424
2032.806931589004,-1.407169191502229,0.3521363329373464,-8.247473658867648
2138.469199982379,-1.714174952081836,0.3897279800265636,-8.707005379744956
2249.62363528474,-2.043937357548047,0.4322339308815611,-9.204946615361223
2366.555712129699,-2.391609240511519,0.4811421255660686,-9.723437713134899
2489.565743695981,-2.756922338774475,0.532368279565668,-10.30114815607971
2618.969652992833,-3.141497321353705,0.5916803429509736,-10.89054287475724
2755.099784235702,-3.540774603637702,0.6544848408863602,-11.5337812941318
2898.305756396022,-3.959592241884531,0.727314393869095,-12.22647120752578
3048.955361117215,-4.393523558175162,0.8081927665160294,-12.97500557888462
3207.435507303037,-4.84436987020273,0.896437005080194,-13.78128535439853
3374.153214804249,-5.314922802999059,0.9949655965863076,-14.66473312937165
3549.536659755572,-5.800406927953208,1.105549314571755,-15.62372268459779
3734.036274247757,-6.301620288602053,1.225706975289878,-16.65972895237776
3928.125903158927,-6.821949999361074,1.362395171951347,-17.8084356539766
4132.304021116299,-7.358037832402971,1.513117747575776,-19.07802380552377
4347.095012713768,-7.916267596451874,1.678765912330618,-20.4704038183035
4573.050519273265,-8.491099325588928,1.859818369009661,-22.03781420757514
4810.7508556088,-9.087215696946268,2.060538332692549,-23.78111537176309
5060.80650043172,-9.707465672477651,2.284052534728854,-25.79081162993926
5323.859664225075,-10.35206369434325,2.528306519386173,-28.05420610213116
5600.585938613706,-11.02475708428066,2.797524397304998,-30.62123968549162
5891.696031466146,-11.72121338959355,3.08409852668707,-33.58816119154338
6197.937592184519,-12.42955978804327,3.390892287612588,-37.06691808011119
6520.097131870302,-13.15321764094263,3.706423910775479,-41.06491222626867
6859.002043297394,-13.88729250681274,4.02555865966559,-45.80211329597866
7215.522725880401,-14.61821247824167,4.335701138346366,-51.32139992000587
7590.574821095614,-15.29170091517704,4.601141591779,-57.84169718605804
7985.121564095776,-15.88223529074985,4.767706394915509,-65.22478450327495
8400.17625755832,-16.34944013875464,4.799545035947377,-73.58148263712991
8836.80487412052,-16.61041598582352,4.652171353999673,-82.76875837345101
9296.128794085382,-16.65616300255287,4.26812900756995,-92.1435669207354
9779.327685429293,-16.47265748641593,3.654372152067103,-101.4515527461587
10287.64253350828,-16.08269609666927,2.837810569767085,-110.1398505181596
10822.37882824383,-15.53346163143684,1.847354934225636,-117.9990636009622
11384.90991697384,-14.87749099585892,0.7545472205101645,-124.961778696078
11976.68053157979,-14.17483937054788,-0.389986913998892,-130.8211783728285
12599.21049894873,-13.45108762047457,-1.571930839750806,-135.9247923608193
13254.09864429952,-12.69571158349459,-2.758306939940412,-140.189562793351
13943.02689739807,-11.96834277824779,-3.939897004368173,-143.9179032770424
14667.76461220765,-11.25817248114376,-5.099333620821368,-147.1117137188542
15430.17311106812,-10.58965017560949,-6.23373409706442,-149.8547477025029
16232.21046507471,-9.917012223455759,-7.345162612576923,-152.2300189227638
17075.9365229339,-9.282051236413089,-8.445573969914594,-154.3844191717862
17963.51820121167,-8.676148095187504,-9.50866675565241,-156.1311327165707
18897.2350495609,-8.084277534819762,-10.57147662972465,-157.8469691561966
19879.4851052209,-7.522892751936486,-11.61652255654168,-159.3474441704701
20912.79105182548,-6.979892743446944,-12.62886108391869,-160.6154288067175
21999.80669833613,-6.459326355515413,-13.65614095260502,-161.7596392949514
23143.32379474079,-5.953674279350412,-14.63886647949067,-162.964029639389
24346.27920202244,-5.468757930228855,-15.61334940769563,-163.9691871462682
25611.76243481195,-4.997945700329168,-16.61300872174736,-164.8831741302182
26943.02359609647,-4.548363100349289,-17.55647296773658,-165.6936584355924
28343.48172436268,-4.10819589893242,-18.50668432485665,-166.5134633123002
29816.73357461159,-3.687988466344633,-19.45543287766318,-167.1248542574489
31366.56285579752,-3.284228168135547,-20.38732804230663,-167.991689767619
32996.94994841539,-2.895056457417628,-21.29965735892758,-168.5536208080007
34712.08212719385,-2.423153640251355,-22.20029314628811,-169.141348323115
36516.36431514834,-2.12640328291165,-23.14867474765423,-169.6918289366284
38414.43039661399,-1.782172640249526,-24.06716022305372,-169.8318192398982
40411.15511831337,-1.516534222225846,-24.95675237065494,-170.4196114531029
42511.6666090233,-1.176771226493005,-25.85031502046985,-170.5478860290831
44721.35954999582,-0.9038987192287457,-26.84037035245998,-170.865973748143
47045.90902995776,-0.6556904990996777,-27.61511639187695,-170.9675426000108
49491.2851202724,-0.4183507625001017,-28.58579360000933,-171.6224116274096
52063.76820769652,-0.205490333738437,-29.41868565792851,-172.8355095016103
54769.96512411089,-0.04694260031638839,-30.38097597382358,-172.8813505966272
57616.82611465068,0.00765059173108375,-31.33237890089395,-173.1416005408312
60611.66268781299,0.05318871685887398,-32.18159449306236,-173.1410735502288
63762.16639338727,0.09022444123512703,-32.99579680266894,-173.5474143954332
67076.42857643422,0.1064654528325429,-33.90768463278762,-174.3879503549639
70562.96115804643,0.1429491816876379,-34.88242561678558,-173.9187407574478
74230.71849626275,0.1623825226489195,-35.7302444547163,-173.2455703207904
78089.12038328021,0.1680704073660119,-36.58704157247077,-174.2607119832354
82148.07623802577,0.1691882318760063,-37.4587981713205,-174.3465103779506
86418.01055622326,0.1738692908641988,-38.26280683935186,-173.9389390249484
90909.88968331557,0.1731819229456377,-39.29428571440675,-173.2400114004562
95635.24997900373,0.1603005765542573,-39.97884475984157,-173.4407440908326
100606.2274457374,0.1650233310744466,-41.06074538588466,-174.0754571687118
105835.5888972486,0.1755255284407382,-41.70440772995715,-173.4160224214833
111336.7647471806,0.1840097419524623,-43.01215015909287,-171.6791088784822
117123.8835020202,0.1849453165171744,-43.36686607425884,-172.2833019793137
123211.8080469207,0.1821774570827364,-44.61874523064678,-171.8608218983013
129616.1738176091,0.1861318019606898,-45.54451649035782,-171.9621143281329
136353.4289564101,0.185377202902268,-46.46814380670301,-172.6150158669039
143440.8765555222,0.1670036872513203,-47.0851236109479,-172.6359570986312
150896.719096035,0.1825062457972821,-48.09342562769605,-173.0842116624382
158740.1051968199,0.179209013516192,-49.25808201579434,-173.0750161222516
166991.1787933607,0.1760383767431473,-49.72259144298935,-169.8522558762468
175671.1308728223,0.1753142512065001,-50.49487396388389,-174.0760410033428
184802.2538982352,0.1707462123607828,-52.26327741608978,-172.0879167007909
194407.9990615658,0.1672083028003265,-52.80683250823607,-174.2340772228594
204513.0365127146,0.1681918239433869,-54.44825501674756,-173.235758941192
215143.318719131,0.1564756043079328,-53.34059908887946,179.1164925001165
226326.1471187629,0.1458885627540402,-55.04778877927951,-171.379868208592
238090.2422375293,0.1343443153613414,-55.50828103976776,-163.3255743069463
250465.817451394,0.1280251510319622,-57.23015429285965,-175.9651468469412
263484.6565824805,0.1328306932599681,-57.47857707582025,-176.4988325068554
277180.1955285189,0.1306191540276823,-60.47851580433175,-177.1937235775276
291587.608135268,0.1288108858401676,-58.42892937667714,-168.5403007011986
306743.8965324583,0.1239391629040529,-61.34045310402811,-171.8357536107173
322687.9861652632,0.1094445055686149,-60.83447609160882,-174.781275474571
339460.825765362,0.1131116231066518,-62.40187706406982,-173.115855655333
357105.4925183517,0.1081492570125845,-61.86739622110092,-160.1779803120055
375667.3026976035,0.1017958385468281,-64.23265773214709,-162.2415179549756
395193.928048699,0.09498918407348637,-65.35519513850892,-178.6276187584124
415735.518223361,0.09486851103745436,-72.04095622672654,-170.4507946579243
437344.8295773115,0.09044936095457258,-64.88543348754372,170.0986869080179
460077.3606628533,0.08409100232519924,-67.97879795315602,-171.4770404321262
483991.4947641543,0.07675144099313173,-67.45496201705157,-164.6574409797012
